ANO,MÊS,DIA,Viana do Castelo,Braga,Vila Real,Bragança,Porto,Aveiro,Viseu,Guarda,Coimbra,Castelo Branco,Leiria,Santarém,Portalegre,Lisboa,Setúbal,Évora,Beja,Faro
2010,3,30,-990,16152.8,11623.6,14365.4,17203,19448.7,13453.9,14467.2,13588.4,14232.6,14021.8,15012.9,12534.5,20675,18255,17511.1,17891.2,20946.4
2010,3,31,-990,8210.7,7538.7,8197.4,8743.4,-990,8004.5,12621.8,10925.4,14168.2,12366.8,12809.9,13684.7,13334,-990,13741.7,17851.1,18399.9
2010,4,1,-990,17703.1,12435.8,16706.6,20790.9,20692.2,18631.9,20737.3,21527.1,24616,19116.1,19608.8,20696.6,21112.7,18736.4,20145.2,23327.2,24569.8
2010,4,2,-990,9315.1,6770.1,5248,10084.5,14869.2,7557.2,18096.4,10832.2,15060.9,14847.2,12084.4,18182.1,15119.8,14059,24330.8,23832.7,25239.7
2010,4,3,-990,16369,15973.7,17801.8,20549.6,16633.6,17125.4,10387.9,14643.1,15155.2,11169.9,12721.5,8572.9,13927.9,13785.2,14457.7,17886.7,23415.4
2010,4,4,-990,17072.9,22564.5,23763.5,23243.8,23786.6,25651.6,26500.4,25871.1,25899.5,23788.6,24501,25351.5,25262.6,24495.1,26130.5,25807.7,26248.8
2010,4,5,-990,23137.4,22915.7,24163.7,24437.3,23212,25310.2,26297.5,26206.5,25863.7,23667.8,24287.1,25339.5,25281,24113.6,25097.1,24361.8,25015.2
2010,4,6,-990,17394.1,16639.6,19541.8,17707.9,17333.1,18421.1,19026.7,18800,18527.3,16768.5,15649.1,17484,18641.5,16871,20010.1,20599.9,22033.1
2010,4,7,-990,24236.1,23720.1,24891.4,-990,24435.7,26411.8,26626.8,24327.5,26347.5,-990,24873,25899.8,25664.9,24793.8,23750.4,25122.5,26316.7
2010,4,8,-990,24521.3,23139.3,25080.4,24883.2,24824.6,26727.2,-990,27037.2,26629.5,24198.3,24371.9,26118.7,22618.2,22331.6,25837.6,25090.7,25447.6
2010,4,9,-990,24467.8,24240.7,25270.1,25178.5,24999.3,27213.3,27616.7,27590,26921,24553.6,23779.4,26110.7,24374.1,24082.3,25803.9,23180.9,24465.8
2010,4,10,-990,24569.6,23897,24905.7,24750.6,-990,26353.3,27028.2,27050.3,26693.1,24534.7,24911.7,25891.2,26001.7,24466.8,26719.4,25704.9,25729.7
2010,4,11,-990,24652.1,24192.2,24997.7,24902.2,-990,26822.9,27673.7,26943.5,27021.6,24429.6,24953.4,26362.2,25875.7,24613.1,25783.3,24421.6,24629.9
2010,4,12,-990,8985.2,9453.1,21700.1,18371.5,-990,10738.1,10012.4,26751.5,25310.6,23340.5,24038.4,25371.3,25123,23821.2,26099.5,14797.9,22860.6
2010,4,13,-990,22477,14154.3,23974.4,22311.5,18380,21402.6,13072,18159,11550.5,15739.4,14234.1,8399.4,13194.8,12218.8,15020.3,16395.4,18410.8
2010,4,14,-990,19058.6,11472.6,11884.5,17132.3,16928.4,16742.4,6893.5,15009.5,4744.8,14908.1,7274.2,7307,8503,9678.8,6269,8715.6,7636.7
2010,4,15,-990,16123.1,16232.5,6582.8,18582.8,19014.1,17656,14029.5,18402.4,16413.7,18810.7,16312,16157.8,-990,21711.3,19420.8,18514.5,20776.6
2010,4,16,-990,17631.1,18362.2,15082.5,14507.7,18155.6,17628.2,14785.4,17497.6,14095.5,10270.5,10944.8,14083.4,11308.6,14232.6,12835.4,9951.9,8660
2010,4,17,-990,12984.7,11465.8,13976.5,16067.3,18556.1,15570.8,16733.4,14893.7,15070.9,13389.7,15825,13160.9,20825.1,-990,17663.9,17584.8,20169.5
2010,4,18,-990,18483.6,11944,11820.5,18179.8,21009.1,14469.2,14462.6,17030.6,12201.4,14528,18238.5,13812.6,17716.7,18592.7,14475,15760,16562.2
2010,4,19,-990,-990,13474.2,19044.4,23131,18810.4,19213.3,16202.9,15677.3,12721.7,15600.7,11857.9,13476.5,12643.6,20877.5,15113.4,17740.7,23415
2010,4,20,-990,-990,16878.5,17794.4,17138.7,-990,19954.1,19274.9,-990,25350,20122.2,21516.7,26089.9,22838.3,22810.5,26215.7,25252.8,26174.9
2010,4,21,-990,-990,9846.1,6663.4,16571,16790.8,13036.2,18094.8,-990,14727.3,15684.3,19008.5,14347.4,21197.7,22158.6,17411.1,9651.6,20535.7
2010,4,22,-990,-990,15964.2,9658.8,24070.8,24365.4,18646.9,23374,22015.2,20617.1,24771.8,18203.6,18941.2,10535.2,16270.1,18533.4,16814,26984
2010,4,23,-990,11192.1,14974,25887.9,15668,-990,13182.4,24468.9,17164.7,25761.6,17717.4,19054.5,23523.2,15561.8,-990,19309.1,18084.9,25534.6
2010,4,24,-990,20966.4,24112.3,24278,25224.2,-990,-990,20392.7,20330.6,23927.5,19806.9,18825.2,23576.5,17476.5,18276.9,22286.7,21524.2,18412.1
2010,4,25,-990,26178.4,26418.7,27085,26842.2,-990,28436.2,27684.2,27601.8,28566.7,26560.9,26868.4,27082.4,27784.4,25998.9,28078,27284,28068.6
2010,4,26,-990,25474.3,26108.3,27213.9,26890,-990,28167.6,-990,27405.9,27932.5,24115.8,26490.4,27462.2,27474.4,24214.4,28188.9,26087.7,28280.2
2010,4,27,-990,23291.2,22199.3,23670.6,25045,-990,20454.1,23929.2,23663.9,26012.3,24751.9,23741.4,21809.1,25343.2,23043.9,26696.1,25018.5,27544.3
2010,4,28,-990,20843.1,21888.3,23974.3,21893.3,-990,24162.3,26357.1,23485.9,26587.1,22568.4,23121.2,25566.6,23297.5,22236,26031.6,24522.9,25848.6
2010,4,29,-990,23063.6,24144.6,21979.1,-990,-990,25944.2,22599.5,18035.7,23453.4,20736.4,25439.2,23122.2,26325.8,23112.2,26303,22621.2,21880.2
2010,4,30,-990,17404.4,19616,20727.8,18073.2,-990,18593.3,15197.7,16130,19953.3,17674.8,21865.5,22400.2,24612.5,22767,27129.2,24576.6,27594.2
2010,5,1,-990,-990,25819.2,24806.9,20492.8,-990,20547.9,28986.4,20353.5,28002.9,21582.3,22536.1,25365.9,25164.5,18426.8,23009.6,22233.7,28034.3
2010,5,2,-990,-990,27049.1,25499.2,28352.5,-990,22280.7,25446.5,23136.7,29088.5,22559.9,25556.3,26550.1,26749.8,25910.5,27018.5,26233.9,26959.5
2010,5,3,-990,23903.4,28864.9,24092.9,28078.4,-990,27293.8,27875.7,29530.6,27154.7,28013.2,28683.7,29790.7,29959.7,-990,29318.8,28533.4,30373.6
2010,5,4,-990,24779.1,27966.5,27663.3,29548.2,-990,29763.4,29233.8,29020.5,31044.4,28426.2,29281,29751.9,30055.5,-990,30919.9,29258.5,30890.7
2010,5,5,-990,27448.4,29085.2,29418.5,29343.6,-990,30834.4,31163.2,30117.8,31316.9,28653.2,29002.5,30337.9,29860.9,-990,31212.1,29309.1,29943.7
2010,5,6,-990,25195.3,27548.3,28784.5,28303.4,-990,29127.3,26762.1,27856.3,29612.2,27249.4,28142.5,25591.8,25851.1,27265.3,29946.5,26464.5,23206.7
2010,5,7,-990,12435.9,18360.4,14421.5,13113.3,-990,11320.8,14153.8,10977.3,19489.4,12328.3,15315.9,15595.1,13505.2,16651.2,20722.3,19707.8,23705.9
2010,5,8,-990,-990,5479,7854.7,5597.4,-990,5006.1,5817,-990,5837.5,8034.6,4393.7,6051,5156.6,4485.6,7987.5,8166.3,8402.1
2010,5,9,-990,19299,16102.2,19164.6,25180.9,-990,19076.8,21714.2,22678.6,20898.5,22774.3,16721.5,10888.3,18154.7,17434.5,18841.6,19564,28492.5
2010,5,10,-990,-990,9359.3,5499.6,9921.2,-990,16072.6,20224.9,24782.7,24375.9,23020.7,23146.5,21248.5,22806,25261.2,27356.5,21752.4,24274.6
2010,5,11,-990,-990,16675.9,19587.1,22995.6,-990,15414.3,13753.4,13725.3,20691,20380.1,20438,16504.9,25187.1,26337.5,20452.6,24190.2,30242.2
2010,5,12,-990,-990,14865.1,9605.2,25659.4,-990,18428.3,20516.5,21618.5,21554.1,20582.3,20337.9,18555.3,24806.8,21022,25524.7,21404.8,28329.9
