STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,projection,Type of projection,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2055,,63455,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2060,,60841,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2065,,58580,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2070,,56641,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2075,,54881,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2080,,53246,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2085,,51723,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2090,,50309,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2095,,49101,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11B,Alto Tâmega e Barroso,2100,,48153,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2019,,417268,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2020,,416465,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2025,,408857,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2030,,400184,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2035,,390846,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2040,,379469,,,,,
