Data;Ano;Mês;ano_mes;Distrito;Concelho;Nível de Tensão;Potência Instalada (kW);Número de Instalações;Energia Injetada (kWh);Código Distrito;Código Concelho;Código Freguesia
2024-06;2024;06;202406;Beja;Aljustrel;BTN/BTE;1000.2499999999999;231;72810.03299999997;02;0201;020100
2024-06;2024;06;202406;Aveiro;Ílhavo;MT/AT;8375.69;41;249675.0;01;0110;011000
2024-06;2024;06;202406;Setúbal;Grândola;MT/AT;1031.0;8;20852.25;15;1505;150500
2024-06;2024;06;202406;Porto;Baião;BTN/BTE;716.9099999999999;288;38348.03899999999;13;1302;130200
2024-06;2024;06;202406;Santarém;Alcanena;MT/AT;3190.3500000000004;18;79550.0;14;1402;140200
2024-06;2024;06;202406;Beja;Odemira;BTN/BTE;2348.199999999999;706;115024.75099999984;02;0211;021100
2024-06;2024;06;202406;Guarda;Guarda;BTN/BTE;2758.970000000001;756;202235.42800000004;09;0907;090700
2024-06;2024;06;202406;Bragança;Vila Flor;MT/AT;2104.14;6;52877.5;04;0410;041000
2024-06;2024;06;202406;Santarém;Ferreira do Zêzere;MT/AT;1901.46;8;40249.75;14;1411;141100
2024-06;2024;06;202406;Setúbal;Alcochete;BTN/BTE;1036.0599999999995;398;57436.25599999989;15;1502;150200
2024-06;2024;06;202406;Aveiro;Vale de Cambra;MT/AT;3860.9300000000003;24;131904.0;01;0119;011900
2024-06;2024;06;202406;Coimbra;Coimbra;MT/AT;7911.290000000001;55;150083.25;06;0603;060300
2024-06;2024;06;202406;Porto;Gondomar;MT/AT;5165.370000000001;43;142640.5;13;1304;130400
2024-06;2024;06;202406;Setúbal;Seixal;BTN/BTE;9199.170000000126;4371;543625.3990000002;15;1510;151000
2024-06;2024;06;202406;Évora;Arraiolos;MT/AT;1052.56;13;46882.25;07;0702;070200
2024-06;2024;06;202406;Viseu;Lamego;BTN/BTE;1190.3499999999995;377;74970.77199999991;18;1805;180500
2024-06;2024;06;202406;Lisboa;Lisboa;BTN/BTE;5341.150000000007;1192;193820.8447180617;11;1106;110600
2024-07;2024;07;202407;Castelo Branco;Fundão;MT/AT;4720.0599999999995;26;306336.42599999974;05;0504;050400
2024-07;2024;07;202407;Faro;Tavira;BTN/BTE;2239.319999999998;673;135202.82099999994;08;0814;081400
2024-07;2024;07;202407;Portalegre;Avis;MT/AT;321.0;6;14424.75;12;1203;120300
2024-07;2024;07;202407;Leiria;Nazaré;BTN/BTE;1120.5399999999997;341;61417.445999999945;10;1011;101100
2024-07;2024;07;202407;Aveiro;Estarreja;BTN/BTE;1822.4099999999999;671;117956.24799999989;01;0108;010800
2024-07;2024;07;202407;Santarém;Santarém;MT/AT;11381.43;49;297344.25;14;1416;141600
2024-07;2024;07;202407;Castelo Branco;Penamacor;BTN/BTE;478.25;162;29992.194999999985;05;0507;050700
2024-07;2024;07;202407;Vila Real;Sabrosa;BTN/BTE;609.1300000000001;201;38534.04299999991;17;1710;171000
2024-07;2024;07;202407;Portalegre;Crato;BTN/BTE;224.8800000000001;99;14622.765999999989;12;1206;120600
2024-07;2024;07;202407;Faro;Lagoa;BTN/BTE;4203.260000000006;905;228438.40199999974;08;0806;080600
2024-07;2024;07;202407;Guarda;Aguiar da Beira;BTN/BTE;990.0099999999999;146;67484.61399999988;09;0901;090100
2024-07;2024;07;202407;Santarém;Salvaterra de Magos;BTN/BTE;2514.749999999999;1041;172602.55399999995;14;1415;141500
2024-07;2024;07;202407;Faro;Castro Marim;MT/AT;717.81;3;6759.5;08;0804;080400
2024-07;2024;07;202407;Vila Real;Peso da Régua;BTN/BTE;711.6099999999999;239;47888.854999999916;17;1708;170800
2024-07;2024;07;202407;Vila Real;Peso da Régua;MT/AT;330.53;7;11428.25;17;1708;170800
2024-07;2024;07;202407;Lisboa;Sobral de Monte Agraço;MT/AT;1336.83;11;37660.5;11;1112;111200
2024-07;2024;07;202407;Lisboa;Sobral de Monte Agraço;BTN/BTE;697.2799999999995;277;51199.81699999999;11;1112;111200
2024-06;2024;06;202406;Santarém;Mação;MT/AT;728.12;4;21704.25;14;1413;141300
2024-07;2024;07;202407;Bragança;Alfândega da Fé;BTN/BTE;325.03000000000003;103;21158.432999999983;04;0401;040100
2024-07;2024;07;202407;Viseu;Viseu;MT/AT;4693.740000000001;44;197922.0;18;1823;182300
